,distance,following_x,front_x,frame,front_speed,following_speed,front_id,following_id,front_width,following_width,front_class,following_class,front_feature,following_feature
1,38.889999999999986,0.0,38.889999999999986,4490,23.499999999999943,22.500000000000853,207,210,16.98,16.27,Truck,Truck,,
2,38.90999999999997,0.9300000000000068,39.839999999999975,4491,23.749999999999716,23.25000000000017,207,210,16.98,16.27,Truck,Truck,,
3,38.889999999999986,1.8899999999999864,40.77999999999997,4492,23.499999999999943,23.99999999999949,207,210,16.98,16.27,Truck,Truck,,
4,38.860000000000014,2.849999999999966,41.70999999999998,4493,23.25000000000017,23.99999999999949,207,210,16.98,16.27,Truck,Truck,,
5,38.829999999999984,3.829999999999984,42.65999999999997,4494,23.749999999999716,24.500000000000455,207,210,16.98,16.27,Truck,Truck,,
6,38.80000000000001,4.810000000000002,43.610000000000014,4495,23.750000000001137,24.500000000000455,207,210,16.98,16.27,Truck,Truck,,
7,38.75,5.800000000000011,44.55000000000001,4496,23.499999999999943,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
8,38.69999999999999,6.800000000000011,45.5,4497,23.749999999999716,25.0,207,210,16.98,16.27,Truck,Truck,,
9,38.660000000000025,7.789999999999964,46.44999999999999,4498,23.749999999999716,24.749999999998806,207,210,16.98,16.27,Truck,Truck,,
10,38.610000000000014,8.779999999999973,47.389999999999986,4499,23.499999999999943,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
11,38.54000000000002,9.789999999999964,48.329999999999984,4500,23.499999999999943,25.249999999999773,207,210,16.98,16.27,Truck,Truck,,
12,38.49000000000001,10.789999999999964,49.27999999999997,4501,23.749999999999716,25.0,207,210,16.98,16.27,Truck,Truck,,
13,38.44,11.779999999999973,50.21999999999997,4502,23.499999999999943,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
14,38.400000000000034,12.779999999999973,51.18000000000001,4503,24.00000000000091,25.0,207,210,16.98,16.27,Truck,Truck,,
15,38.360000000000014,13.769999999999982,52.129999999999995,4504,23.749999999999716,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
16,38.31,14.769999999999982,53.079999999999984,4505,23.749999999999716,25.0,207,210,16.98,16.27,Truck,Truck,,
17,38.26999999999998,15.759999999999991,54.02999999999997,4506,23.749999999999716,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
18,38.21999999999997,16.75,54.96999999999997,4507,23.499999999999943,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
19,38.17999999999995,17.74000000000001,55.91999999999996,4508,23.749999999999716,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
20,38.13000000000005,18.72999999999996,56.860000000000014,4509,23.500000000001364,24.749999999998806,207,210,16.98,16.27,Truck,Truck,,
21,38.06999999999999,19.71999999999997,57.789999999999964,4510,23.24999999999875,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
22,38.00999999999999,20.70999999999998,58.71999999999997,4511,23.25000000000017,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
23,37.94999999999999,21.689999999999998,59.639999999999986,4512,23.000000000000398,24.500000000000455,207,210,16.98,16.27,Truck,Truck,,
24,37.879999999999995,22.689999999999998,60.56999999999999,4513,23.25000000000017,25.0,207,210,16.98,16.27,Truck,Truck,,
25,37.81999999999999,23.680000000000007,61.5,4514,23.25000000000017,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
26,37.78000000000003,24.659999999999968,62.44,4515,23.499999999999943,24.499999999999034,207,210,16.98,16.27,Truck,Truck,,
27,37.73000000000002,25.649999999999977,63.379999999999995,4516,23.499999999999943,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
28,37.69,26.639999999999986,64.32999999999998,4517,23.749999999999716,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
29,37.639999999999986,27.629999999999995,65.26999999999998,4518,23.499999999999943,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
30,37.620000000000005,28.599999999999966,66.21999999999997,4519,23.749999999999716,24.24999999999926,207,210,16.98,16.27,Truck,Truck,,
31,37.579999999999984,29.589999999999975,67.16999999999996,4520,23.749999999999716,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
32,37.53000000000003,30.579999999999984,68.11000000000001,4521,23.500000000001364,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
33,37.47000000000003,31.579999999999984,69.05000000000001,4522,23.499999999999943,25.0,207,210,16.98,16.27,Truck,Truck,,
34,37.410000000000025,32.579999999999984,69.99000000000001,4523,23.499999999999943,25.0,207,210,16.98,16.27,Truck,Truck,,
35,37.35000000000002,33.579999999999984,70.93,4524,23.499999999999943,25.0,207,210,16.98,16.27,Truck,Truck,,
36,37.30000000000001,34.579999999999984,71.88,4525,23.749999999999716,25.0,207,210,16.98,16.27,Truck,Truck,,
37,37.24000000000001,35.579999999999984,72.82,4526,23.499999999999943,25.0,207,210,16.98,16.27,Truck,Truck,,
38,37.19999999999999,36.56,73.75999999999999,4527,23.499999999999943,24.500000000000455,207,210,16.98,16.27,Truck,Truck,,
39,37.150000000000034,37.539999999999964,74.69,4528,23.25000000000017,24.499999999999034,207,210,16.98,16.27,Truck,Truck,,
40,37.10000000000002,38.51999999999998,75.62,4529,23.25000000000017,24.500000000000455,207,210,16.98,16.27,Truck,Truck,,
41,37.05000000000001,39.5,76.55000000000001,4530,23.25000000000017,24.500000000000455,207,210,16.98,16.27,Truck,Truck,,
42,36.99000000000001,40.47999999999996,77.46999999999997,4531,22.999999999998977,24.499999999999034,207,210,16.98,16.27,Truck,Truck,,
43,36.93000000000001,41.46999999999997,78.39999999999998,4532,23.25000000000017,24.750000000000227,207,210,16.98,16.27,Truck,Truck,,
44,36.870000000000005,42.44999999999999,79.32,4533,23.000000000000398,24.500000000000455,207,210,16.98,16.27,Truck,Truck,,
45,36.81,43.43000000000001,80.24000000000001,4534,23.000000000000398,24.500000000000455,207,210,16.98,16.27,Truck,Truck,,
