,Unnamed: 0,distance,following_x,front_x,frame,front_speed,front_a,following_speed,following_a,front_id,following_id,front_width,following_width,front_class,following_class,front_feature,following_feature
0,1,30.59999999999997,0.0,30.59999999999997,3642,19.49999999999932,6.250000000029843,18.000000000000682,6.249999999994316,454,457,4.35,4.65,Car,Car,,
1,2,30.659999999999968,0.7300000000000182,31.389999999999983,3643,19.75000000000051,6.250000000029843,18.25000000000045,6.249999999994316,454,457,4.35,4.65,Car,Car,,
2,3,30.70999999999998,1.490000000000009,32.19999999999999,3644,20.250000000000057,12.499999999988631,18.999999999999773,18.749999999982947,454,457,4.35,4.65,Car,Car,,
3,4,30.75,2.25,33.0,3645,20.000000000000284,6.249999999994316,18.999999999999773,0.0,454,457,4.35,4.65,Car,Car,,
4,5,30.78000000000003,3.009999999999991,33.79000000000002,3646,19.75000000000051,6.249999999994316,18.999999999999773,0.0,454,457,4.35,4.65,Car,Car,,
5,6,30.81,3.7799999999999727,34.589999999999975,3647,19.999999999998863,6.2499999999587885,19.249999999999545,6.249999999994316,454,457,4.35,4.65,Car,Car,,
6,7,30.84999999999997,4.5400000000000205,35.389999999999986,3648,20.000000000000284,3.552713678800501e-11,19.000000000001197,6.2499999999587885,454,457,4.35,4.65,Car,Car,,
7,8,30.850000000000023,5.319999999999993,36.170000000000016,3649,19.50000000000074,12.499999999988631,19.49999999999932,12.499999999953104,454,457,4.35,4.65,Car,Car,,
8,9,30.850000000000023,6.089999999999975,36.94,3650,19.249999999999545,6.250000000029843,19.249999999999545,6.249999999994316,454,457,4.35,4.65,Car,Car,,
9,10,30.879999999999995,6.8700000000000045,37.75,3651,20.250000000000057,25.00000000001279,19.50000000000074,6.250000000029843,454,457,4.35,4.65,Car,Car,,
10,11,30.910000000000025,7.639999999999986,38.55000000000001,3652,20.000000000000284,6.249999999994316,19.249999999999545,6.250000000029843,454,457,4.35,4.65,Car,Car,,
11,12,30.94,8.420000000000016,39.360000000000014,3653,20.250000000000057,6.249999999994316,19.50000000000074,6.250000000029843,454,457,4.35,4.65,Car,Car,,
12,13,30.95999999999998,9.199999999999989,40.15999999999997,3654,19.999999999998863,6.250000000029843,19.49999999999932,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
13,14,30.989999999999952,9.980000000000018,40.96999999999997,3655,20.250000000000057,6.250000000029843,19.50000000000074,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
14,15,31.019999999999985,10.75,41.76999999999998,3656,20.000000000000284,6.249999999994316,19.249999999999545,6.250000000029843,454,457,4.35,4.65,Car,Car,,
15,16,31.03000000000003,11.529999999999973,42.56,3657,19.75000000000051,6.249999999994316,19.49999999999932,6.249999999994316,454,457,4.35,4.65,Car,Car,,
16,17,31.039999999999964,12.300000000000011,43.339999999999975,3658,19.49999999999932,6.250000000029843,19.250000000000966,6.2499999999587885,454,457,4.35,4.65,Car,Car,,
17,18,31.06,13.079999999999984,44.13999999999999,3659,20.000000000000284,12.500000000024158,19.49999999999932,6.2499999999587885,454,457,4.35,4.65,Car,Car,,
18,19,31.090000000000032,13.849999999999966,44.94,3660,20.000000000000284,0.0,19.249999999999545,6.249999999994316,454,457,4.35,4.65,Car,Car,,
19,20,31.100000000000023,14.629999999999995,45.73000000000002,3661,19.75000000000051,6.249999999994316,19.50000000000074,6.250000000029843,454,457,4.35,4.65,Car,Car,,
20,21,31.10999999999996,15.420000000000016,46.52999999999997,3662,19.999999999998863,6.2499999999587885,19.75000000000051,6.249999999994316,454,457,4.35,4.65,Car,Car,,
21,22,31.129999999999995,16.19999999999999,47.329999999999984,3663,20.000000000000284,3.552713678800501e-11,19.49999999999932,6.250000000029843,454,457,4.35,4.65,Car,Car,,
22,23,31.129999999999995,16.99000000000001,48.120000000000005,3664,19.75000000000051,6.249999999994316,19.75000000000051,6.250000000029843,454,457,4.35,4.65,Car,Car,,
23,24,31.150000000000038,17.769999999999982,48.920000000000016,3665,20.000000000000284,6.249999999994316,19.49999999999932,6.250000000029843,454,457,4.35,4.65,Car,Car,,
24,25,31.159999999999968,18.55000000000001,49.70999999999998,3666,19.74999999999909,6.250000000029843,19.50000000000074,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
25,26,31.19,19.319999999999997,50.50999999999999,3667,20.000000000000284,6.250000000029843,19.249999999999545,6.250000000029843,454,457,4.35,4.65,Car,Car,,
26,27,31.220000000000027,20.09999999999997,51.31999999999999,3668,20.250000000000057,6.249999999994316,19.49999999999932,6.249999999994316,454,457,4.35,4.65,Car,Car,,
27,28,31.24000000000001,20.879999999999995,52.120000000000005,3669,20.000000000000284,6.249999999994316,19.50000000000074,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
28,29,31.27000000000004,21.649999999999977,52.920000000000016,3670,20.000000000000284,0.0,19.249999999999545,6.250000000029843,454,457,4.35,4.65,Car,Car,,
29,30,31.289999999999964,22.430000000000007,53.71999999999997,3671,19.999999999998863,3.552713678800501e-11,19.50000000000074,6.250000000029843,454,457,4.35,4.65,Car,Car,,
30,31,31.319999999999997,23.19999999999999,54.51999999999998,3672,20.000000000000284,3.552713678800501e-11,19.249999999999545,6.250000000029843,454,457,4.35,4.65,Car,Car,,
31,32,31.329999999999984,23.980000000000015,55.31,3673,19.75000000000051,6.249999999994316,19.50000000000074,6.250000000029843,454,457,4.35,4.65,Car,Car,,
32,33,31.34999999999997,24.75,56.099999999999966,3674,19.74999999999909,3.552713678800501e-11,19.249999999999545,6.250000000029843,454,457,4.35,4.65,Car,Car,,
33,34,31.360000000000014,25.519999999999985,56.88,3675,19.50000000000074,6.2499999999587885,19.249999999999545,0.0,454,457,4.35,4.65,Car,Car,,
34,35,31.389999999999983,26.29000000000002,57.68000000000001,3676,20.000000000000284,12.499999999988631,19.250000000000966,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
35,36,31.41999999999996,27.05000000000001,58.46999999999997,3677,19.74999999999909,6.250000000029843,18.999999999999773,6.250000000029843,454,457,4.35,4.65,Car,Car,,
36,37,31.44,27.819999999999997,59.25999999999999,3678,19.75000000000051,3.552713678800501e-11,19.249999999999545,6.249999999994316,454,457,4.35,4.65,Car,Car,,
37,38,31.46000000000004,28.58999999999997,60.05000000000001,3679,19.75000000000051,0.0,19.249999999999545,0.0,454,457,4.35,4.65,Car,Car,,
38,39,31.50999999999999,29.360000000000014,60.870000000000005,3680,20.49999999999983,18.749999999982947,19.250000000000966,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
39,40,31.54000000000002,30.129999999999995,61.670000000000016,3681,20.000000000000284,12.499999999988631,19.249999999999545,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
40,41,31.57000000000005,30.909999999999968,62.48000000000002,3682,20.250000000000057,6.249999999994316,19.49999999999932,6.249999999994316,454,457,4.35,4.65,Car,Car,,
41,42,31.59999999999997,31.680000000000007,63.27999999999997,3683,19.999999999998863,6.250000000029843,19.250000000000966,6.2499999999587885,454,457,4.35,4.65,Car,Car,,
42,43,31.629999999999995,32.45999999999998,64.08999999999997,3684,20.250000000000057,6.250000000029843,19.49999999999932,6.2499999999587885,454,457,4.35,4.65,Car,Car,,
43,44,31.649999999999977,33.24000000000001,64.88999999999999,3685,20.000000000000284,6.249999999994316,19.50000000000074,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
44,45,31.670000000000016,34.01999999999998,65.69,3686,20.000000000000284,0.0,19.49999999999932,3.552713678800501e-11,454,457,4.35,4.65,Car,Car,,
